sample_name,species_or_pop_name,generation_length,mutation_rate,mutation_rate_lower_bound,mutation_rate_upper_bound,unknow1,unknow2,reference_genome_path,bam_file_path,vcf_file_path
C-19-3-H,HNA,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/C-19-3-H.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/C-19-3-H.vcf.gz
C-08-3-H,HNB,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/C-08-3-H.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/C-08-3-H.vcf.gz
C-07-3-H,HNA,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/C-07-3-H.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/C-07-3-H.vcf.gz
C-06-3-H,HNA,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/C-06-3-Host.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/C-06-3-Host.vcf.gz
B-11-1-Host,HNB,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/B-11-1-Host.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/B-11-1-Host.vcf.gz
B-10-1,HNB,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/B-10-1.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/B-10-1.vcf.gz
A-02-3-H,HNA,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/A-02-3-H.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/A-02-3-H.vcf.gz
A-01-1_NDSFP00544,HNA,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/A-01-1_NDSFP00544.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/A-01-1_NDSFP00544.vcf.gz
C-14-3-H,HNA,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/C-14-3-H.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/C-14-3-H.vcf.gz
B-09-H,HNB,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/B-09-H.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/B-09-H.vcf.gz
B-07-2-H,HNB,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/B-07-2-H.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/B-07-2-H.vcf.gz
A-04-3-H,HNB,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/A-04-3-H.bam.merged.sorted.bam,/beegfs/store4/chenyangkang/22.pop_pipeline/data/vcf/A-04-3-H.vcf.gz
HNE02,HNB,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/HNE02.dup.sort.bam,
HNE01,HNA,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/HNE01.dup.sort.bam,
HND02,HNB,10,0.00000001,,,,,/beegfs/store4/chenyangkang/22.pop_pipeline/data/ref/reference.fasta,/beegfs/store4/chenyangkang/22.pop_pipeline/data/bam/HND02.dup.sort.bam,
